ID,GarageDoorEntranceIndicator,AllGarageDoorEntrancesVisible
5194,1,1
2892,0,0
2504,1,1
4683,0,0
5214,0,0
5206,0,0
2110,1,1
3888,0,0
5578,0,0
4291,0,0
2511,1,1
5790,0,0
5778,1,1
4691,0,0
5707,0,0
2896,0,0
4684,0,0
3462,1,1
12,1,1
11,0,0
3464,0,0
5200,1,1
4686,0,0
1695,0,0
6012,0,0
5579,1,1
4895,0,0
2500,0,0
5799,0,0
1314,0,0
5198,1,1
5781,0,0
5704,0,0
5772,0,0
5582,1,1
2108,1,1
3,1,1
6107,0,0
4,1,0
2503,1,1
4893,0,0
5592,1,1
5210,0,0
2897,0,0
5808,0,0
10,0,0
5804,0,0
4888,0,0
9,0,0
5600,1,1
5586,0,0
3502,0,0
2894,0,0
6099,1,1
6,1,1
5788,1,1
4294,0,0
2891,0,0
2899,0,0
4695,0,0
5212,0,0
4288,0,0
5792,0,0
4694,0,0
4289,0,0
5208,0,0
1691,1,1
5803,0,0
6106,1,1
2513,0,0
5580,0,0
5,1,0
6108,0,0
3486,0,0
7,1,0
5588,0,0
5589,0,0
6361,0,0
4896,1,1
2105,0,0
5709,0,0
815,1,1
5584,0,0
814,1,1
4689,1,1
2901,1,1
2900,0,0
5775,0,0
5705,0,0
3493,1,1
4290,0,0
1315,0,0
4688,0,0
6014,1,1
3460,0,0
1689,1,1
4687,0,0
5706,0,0
5863,0,0
5207,0,0
3474,0,0
5779,0,0
5583,0,0
5209,1,1
1690,1,1
5795,0,0
5197,1,1
2505,0,0
1,1,1
3881,1,1
5595,0,0
14,1,1
5702,1,1
5581,0,0
3483,0,0
5599,1,1
5587,0,0
